customer id,created_at,subscription_started
WhEG/LbCMxdpXy9hmYjvQQ==,02/05/13,
Btd7W5M0o3RyAODmF8tz1Q==,21/05/13,
y0tjWpWl5Wd0cVX1SgAFQg==,21/05/13,
etLk/CmmL46GITqZilZ1sg==,24/06/13,
Ew4s8imWxpRV7nWJzI/tjA==,15/08/13,
K+xj9dMSMDYhWDuX/3xovw==,15/08/13,
hnB5/K/y393rKcofJ4U+9w==,16/08/13,
K/1ZfwbAMvge+zXoV+LdkQ==,16/08/13,
wDRkKirnVHCCSEYn2jDx/Q==,16/08/13,
1lFGdpifkqgY8Cm7wltxEA==,16/08/13,
Kj0WRIRT1pS1A67r/XEKpw==,17/08/13,
d2om5ESXnVzUYHRK561JMg==,17/08/13,
FPBQRMDhZigAzGNdENp4IQ==,18/08/13,
/BrOIStkEkCPzp7nSSj7GQ==,18/08/13,
hJ1Cnls7qQVVH5IDZk3yfg==,18/08/13,
eooLCL/4I5uqxj6d4ItUAg==,18/08/13,
HWBHtv6Vbq4RuiPHDp/gUw==,19/08/13,
21kmDM4Lhxx7K7eA7uMF2w==,19/08/13,
gj3kL2Gcg3ESIJqnoSfErw==,19/08/13,
PN0N/sqoEn0aVW8h+WUA1w==,20/08/13,
CpDB/dSwbAgisMv65LsMBg==,20/08/13,
oYivC8kghT02c6txxfKkQA==,20/08/13,
L0zQponfemYTuf9OhLNN9g==,20/08/13,
1TRnI5AdlnzMFnkp4u6UrQ==,20/08/13,
21cPanOk1+EO3oJ3Rq6ZLA==,21/08/13,
w7fKsZr21cOwBCivlQ7vgA==,21/08/13,
KFNCfO4A4GJyzxfUvpT30A==,21/08/13,
ZcVTI5LHmyWLw07iLJytyw==,21/08/13,
fSiPaaARDqCt2XrgFJHnUg==,21/08/13,
l4NiznsJYmbizvuHiqMlCw==,21/08/13,
/HB5xZvzYQwoAoUiwi9u+A==,21/08/13,
Ez+zjlPYYflQCBE8yg/vvg==,21/08/13,
KlH4Bq5dVGM80aDOkSVqPA==,21/08/13,
tQrvpD5Xk/O/ZF/DX0uolQ==,22/08/13,
kaRIA5Jl/EqD9UWklF43ow==,22/08/13,
XybMmE6qE3awf8BDnVMdug==,22/08/13,
GEX6opV8tCt93ZKybxFMVw==,22/08/13,
l2saljLVb+gHEo8Ukl3maw==,22/08/13,
hk3AB2m9cXmMWJ82PrfSIg==,22/08/13,
sKPyoNb4YFHmq2xJ1tmedQ==,22/08/13,
o7HBleMDPlCG63SCwJQuSg==,22/08/13,
+CGMx66jkj2j+rctQ1VEwA==,23/08/13,
V+JJ14A5L2dXIprmLcaDGA==,23/08/13,
PXqPZ/UVZMNJR499UqvuOw==,23/08/13,
a0BvunjXsSokKjv/BDmWBA==,23/08/13,
GoIHaQrFTYRfelfdRolw+g==,23/08/13,
WzEqTCh2HEY/7aWlTAEWdg==,23/08/13,
JqlbO/bA+kupCSUPrPta6Q==,23/08/13,
GLCtLpLCeOn29NI7/o2cdw==,25/08/13,
Skro7W+ONggiP0hCcyDJNg==,25/08/13,
HuMAfLvePFfGATuY/pQhpQ==,26/08/13,
ZaVIZd6YnQpqYKitWwfgcQ==,26/08/13,
Rs90VgbGVf1uCz4ZmHMCLg==,26/08/13,
5sGah++egW4CziR9T0HTig==,26/08/13,
qX6j20UNqdPCLMexWPTVFQ==,26/08/13,
ncaGTyBUiqf52FALwo2v7w==,26/08/13,
1EADy2voz/iMT575/TG4IA==,26/08/13,
unxa6rq55Y2kuXioJC2lLg==,26/08/13,
0NgMKo4TRNkCaysSYaBw8g==,26/08/13,
nnpSMMv3/jfpKXTiwqOslA==,26/08/13,
6zUrzwGStPMH1C9AMyCCVg==,26/08/13,
x/FzTy57PqQD5EfeSlZu0g==,27/08/13,
vdG2E+5vysdpTPZIQwNYzg==,27/08/13,16/09/2016
eITv+5RSptenp5SZ74VK/Q==,27/08/13,
snxA8ff7Nfz2XYncKXSOKQ==,27/08/13,
DHTMSIbs23kIRxWXVH/pRg==,27/08/13,
JgL9MR2T4rjMu8kWXgrWUw==,27/08/13,
3tZTP1XwvI+NYRCuuhuHjA==,27/08/13,
CJI09x3qCukxoCnoo6RVAg==,28/08/13,
6i0THCosG2spVpGa8Tp2xQ==,28/08/13,
aVVTwMW6KSKEo+HmTabtRw==,28/08/13,
jxusOWfg/3DrwJ2MpeCGMw==,29/08/13,
sOhkpuzPx3nIEZ9aRGh5fw==,29/08/13,
wa3H5a6YKgEK8utEK1g2QA==,29/08/13,15/01/2014
dQfa+u2seEoYyFJTa708iA==,29/08/13,
PyWHEsO6cIunimCv3pQ1Kg==,29/08/13,
DnYrZQKEAnIeELvJft5Stw==,29/08/13,09/12/2013
uYC+cmZB4c5c+o3eMu47zw==,29/08/13,
I9bCllUIsWfanEvc7zoqow==,29/08/13,
4SQdG5aSwen0679olvDjPg==,29/08/13,
Onjxhkq3fb0jn74zyukLuw==,30/08/13,
Hed/YhEspa3V3iDGB080tg==,30/08/13,
CII+RCAOTU5xZ06BBO/33Q==,30/08/13,
62HCsbG/XSXIban87vVFOA==,31/08/13,
579hXX2jV+hYQ7r9+8RXGQ==,02/09/13,29/11/2013
toPMQVVtUFXBUDPIanWGHA==,02/09/13,
l1rm086K5uBxGCGpep9frg==,02/09/13,
ZF+Gtc7E2gpW/+p6iRcgyQ==,02/09/13,
MZFGiVFMZKl9lQqNnuo+6w==,02/09/13,
sYC9nC0HSMvZEq3hgkuSKA==,02/09/13,
1hKKXET4JlM2GkimDLxHwg==,02/09/13,
yZnVtri6uGYvquf6/kY/BA==,03/09/13,
fRRl+p49Hy6NnzELQAxhTg==,03/09/13,
8oQ/4gSKyy5ofu6+gm2zUg==,03/09/13,
lTvYPLC5yfncSzugv8GyNg==,03/09/13,
DxZg9MXe/FuNk47NOYN9EQ==,03/09/13,
GM0VGkt6X1JYIgz9cH/Wew==,03/09/13,
uKy583JvzgFFlRh6GO0FuQ==,03/09/13,
UyjIc9NHDjUeYC6ny6hRgA==,03/09/13,
8jB3tgVCuSAz300uIIcG3g==,04/09/13,
6BIY+WxV0QBjUu0KOwjXkA==,04/09/13,
JslUZG4h1weS5Nskp2pfwA==,04/09/13,
EKkoj1GdaD+H9kQ/e2gQ5g==,04/09/13,
QEn0ZpbVScZfWDLhVmSv3Q==,04/09/13,
lRy3/PCCQdZZUT1OhKzfqg==,04/09/13,
AfYhHgDMjwCnto6OJLG01g==,04/09/13,
dlEwHKv5Ghvo488LcuhzTw==,05/09/13,
HLqk5WCftlF/VPCrDCBa2g==,05/09/13,
/X+2+DfkGTbrgxsFDbgjMA==,06/09/13,
iVSz7ruUtG3fHBoJxI6eZw==,06/09/13,
I1rtFQcqDNi7KDbuow1IhA==,06/09/13,
5y1YaZ4rDvb7ZKuA//TinA==,06/09/13,
zKQ33/8RmV7cA1Vm6r7Jpw==,06/09/13,
HbscJd9pQmg+exMX8OE9tg==,07/09/13,
7b3Xd4ecuxZalJUeakJbPw==,07/09/13,
KAjjOw7ya6wkixeTbw8ZOA==,08/09/13,
6ofehOGKM51O+gAUTFsP4w==,08/09/13,
RGgLX3zv1XoOWAz8Eakwjw==,09/09/13,
rRruQjROf3Qyq9EW2jIVaQ==,09/09/13,
KK7ALyMfTEuqmkpYrhOXEA==,09/09/13,
UtXQ8QDZ3mp4qDDTWMatxw==,09/09/13,
SRFZuRs/a/zryoHwPr7ucQ==,09/09/13,
8bqF9q4uk346MgfHME9MoA==,09/09/13,
Ct4UdlBpwFGAKE0DswlyAg==,09/09/13,
TlxVe+5B4OdFHGixIj6v5A==,09/09/13,
nt0EwyoXXRyH+Nv+u6VTJw==,09/09/13,
x0Ch/0fC7i5711MPSFPL8A==,09/09/13,
j/cX1hcKhgpQ9/T+GreSGw==,10/09/13,
VvFAiEhS+Wyw+iwkezeDWA==,10/09/13,
r6gGaA4xeadk2l3DcM+e6Q==,10/09/13,
Mn77RTVyZODXZAWMrVm7oA==,10/09/13,
PZfxs0Qhn1msdD9DaBpRkA==,11/09/13,
XchjMsEIvGPK+lxOoNNK4Q==,11/09/13,
YdinDpmqlylrAzdDBOCQxQ==,11/09/13,
ECbYyXqCLuFxxsv5Of5Kyg==,11/09/13,
YsGwdQQTAEVewrVEldk8mQ==,11/09/13,
4fWBufmvTKm+mWqkDaZ1ng==,11/09/13,
pNTsSqPEVzE5btbmX+5AuQ==,11/09/13,
TYq4lzPdmojxqdEwymdcLg==,11/09/13,
IpNfukn32A1a3xz6awNE9A==,12/09/13,
sPfsJ4QXT9zi8t4g05Qdlg==,12/09/13,
hGuLsZoUiLtg7SKtSvDbWw==,12/09/13,
l/pwhWqoCVyxpsc0OoS9hQ==,12/09/13,
kd+BTGWoKMWcYheuvWonwg==,12/09/13,
RbAunacBROVj3bNAfYcYrg==,12/09/13,
qPzlNJRiBTQtlYVx4VVY3w==,12/09/13,24/11/2014
mg+GYE+h3BaGoMrYaoCKXA==,13/09/13,
ndSNjfgW4bK3ihVz0LbOeA==,13/09/13,
PTbBRfHxbDaBc8Q3M1tKzQ==,13/09/13,
VBDkQ58Diwy5aISycA+q1A==,13/09/13,
4fI2JpPxtQL169aMvQrYeg==,15/09/13,
mJlMQ0kBW4WFd5vw6ltGGA==,16/09/13,
otIsMlLrVQW6mxiZzana0g==,16/09/13,
Yx4ItZ0BsYydVHemJkfgOw==,16/09/13,
J+W2f9EKCCpgXufZlfaeyg==,16/09/13,
BK3B46FOtfplR3D8f9B3sQ==,16/09/13,
5DD3eff/gd4OW0xPXjFmcg==,16/09/13,
NkBTa2g9UnbL4RdHaK7Y3w==,17/09/13,
l3z1TlIQm1snlUBnN8821A==,17/09/13,
IgvUT2ft1PMRxsBkNs+aZQ==,18/09/13,
obIsRP/cKcEShLD7J0LYnQ==,18/09/13,
gvgmRL2nomCXD71SpMllKA==,18/09/13,
WxrdiWGhz6B+YIOP/Q+D5w==,18/09/13,06/03/2015
0nv01TjWVxFGiDX52u9Xbg==,18/09/13,
MPrUZ7c2PVX6JLM5j971Vw==,18/09/13,
8FXFTRaozHWozJllEcyanA==,19/09/13,
gRDq61XY9e16oYhC3AzqzQ==,19/09/13,
A72bArp8MThxWlw/0F/21w==,19/09/13,
W/MMaq163wZEWAOHjYVARA==,19/09/13,
gtf1ZDLidwCk+WjMwdZQOA==,19/09/13,
yjRF1x3g7zhgMwN4aMWNkg==,19/09/13,
8aKYeorjYg7S7VRi4OgPXg==,19/09/13,
9lnQBSdmeMBpa39r7aZkVA==,19/09/13,
/ct54LlX2JNX1R2V1AdEqg==,19/09/13,
iDqIae6ve6Rn2iqUXXdx4g==,19/09/13,
3FBlYOH59fSifGYUEj4uUA==,20/09/13,
BcQQYzMUAfUzMrRIheqRPQ==,20/09/13,
5cuc96O2au0V+rp50iajMg==,20/09/13,
1IH75V53CZ7vQRpg8tNvyg==,20/09/13,
V+0TN/5P35xl3a+FVamhuw==,20/09/13,
/U7q9qvcdNjDo3+/uwVc2Q==,20/09/13,
YT5LRb5Z93ioCFPr7RAx5w==,20/09/13,
TEZrNup6eb+z231zN8EO+A==,20/09/13,
Y+/52134ILFBR+QkjGyt5A==,20/09/13,30/12/2013
VgpqAan84XnR06HY1WdYow==,20/09/13,
QEqfYRNcXjPQAvP9lzULjw==,20/09/13,04/09/2017
SHVQKAadqhkm3JpOPQ0GnA==,20/09/13,
GOi71KSoma/CakyKEqHDCA==,21/09/13,
waad+jvNBUmT4JY0Ma0EpQ==,21/09/13,
W//Wj7fITvEvR4Ez5Xkeng==,21/09/13,
ECl8UXovgGQmYfz6nQt4Cw==,21/09/13,
VSmOw4sTxhPOj/4PHZKO0g==,21/09/13,
2qj6VFuyxelEMIG/DgAmAw==,21/09/13,
gbDhkC8caVwmdlHnJhb0bg==,21/09/13,
TDIpYxbOwZ0n9i5OjbFUMA==,22/09/13,
u4wqUiZT8OEMVX2efNGHhA==,22/09/13,
Hl4UNcleQgoc000yAnacGA==,22/09/13,
yJ8o/ode/PNsiXOn+Bv7sA==,23/09/13,
sxO6BA0G7wGhh+Xe45FznQ==,23/09/13,
gaDEaJ+3zlU6DVwv0Ztu/Q==,23/09/13,
r5zrHp4VnXs5Okw4xmCnyw==,23/09/13,
I08WF1ntQQ8rJ7UF4otj9A==,24/09/13,
QlHEf98LQ93R5b8ovG89ug==,24/09/13,
CkvnSpYSBxx5kidFOFY7eA==,24/09/13,
BdNBzYCWlOTkRmDJfBHo5A==,24/09/13,
HKTf/Wy5bf5m8aBE07t8+w==,24/09/13,
s6oZ/p3HBqO0zaqN2zfYUg==,24/09/13,
KgdEzJ0yhW4+ba8yHcaZFQ==,25/09/13,
Elr00g8ezgA+flZFy5CfLw==,25/09/13,
mT4pIbRoGvad2cC665Il4g==,25/09/13,
4uHL5yqxGS45XDUpV2OYKg==,25/09/13,
jazT2LnSzSDrJEtfdF6ojg==,25/09/13,
0IEu30ZrwgxlC0UlE7WD5w==,25/09/13,
7LMgQAx4brujEuLM2G50kA==,25/09/13,
/HXX7FOIZJeLWDPWpnXHaA==,25/09/13,
uTJl7RThovZeeRkwDEDg3Q==,26/09/13,
yIOB2ozyoBl6ZUJHH+jxBw==,26/09/13,
thIYadHZ5/3arAYBb8sGYQ==,26/09/13,
tEbn9o96efnenZ+e6bdk6A==,27/09/13,
39+rmUGsgzoMNkqi5ggYXg==,27/09/13,
K7wcyP0OX54LkfAYKMh4FA==,27/09/13,
gfie2lT44Ud37d0IEq6oXQ==,27/09/13,
c6hj8q1Bx3Au90eIVxv2ig==,27/09/13,
FZoJxRfGBsjZamsYxuLk2Q==,28/09/13,
2LTLzeqg4MXYmxdLItUB8g==,30/09/13,
SP0+kYQdhhnIRADmYYlWdQ==,30/09/13,
e6Xj1gN7PZwJY5n700JgIw==,30/09/13,
TMV0zcjaK0m0bpvtUlXOzg==,30/09/13,
dX3rIqy7ax4hf8N4rHiypA==,01/10/13,
j5Tq+xQ2bOSIlG5A2LRpTg==,01/10/13,
uwHwDarqxnYxPSAx39HkGQ==,01/10/13,
fPaLIQJ070bTiwzXbgWa9g==,01/10/13,
2Q2AGDOmgbFp5PhsZHhM3Q==,01/10/13,
pu2SWNU7F7rJz9JjQyr4+g==,01/10/13,
IWSMlL5umt9pHrwkn6ZonA==,01/10/13,
ASUUFZL6nt7cZlxV2ZWPaQ==,01/10/13,
rSRqKTv9LzGfGotz5kkD4w==,01/10/13,
OsIKx+88CRLYZxkG09QJcw==,02/10/13,
TBCUJpEa6GOTWe9/det8iQ==,02/10/13,
W1u9MXDFYIKTkcPbcmXumw==,02/10/13,
Z72ACb5KBuKhQr6VzQJZrg==,02/10/13,
cowcqTGIZHLEcWB7n3Y+LQ==,02/10/13,
Uq8UW64AZ73FL3NjtahR9A==,02/10/13,
NixoQOQKZe3VV6EIwhn48A==,02/10/13,
xZAbnUJkBm+5uSs8sQ1ENA==,02/10/13,
HR8F5Z3fqCJI9CK0mnLCsw==,03/10/13,
lWXZdelS7CGugTHgUTADbA==,03/10/13,
0Oe1IcGLCYdst2k+QogNug==,03/10/13,
0prx/Vd7A3Az3RFJ6BbVIQ==,03/10/13,
dDaw3Jn4rtEQJiUq6t4aOg==,04/10/13,
rpfK0hj8FGDzZ8s2D0pUYQ==,04/10/13,
DSz2iGlbQ+K0LXe0gfcSIg==,04/10/13,
v9qgNXJJN0fDsBrXoKXJcw==,05/10/13,
YCmSsAWgMp86bQXidHWnnw==,06/10/13,
6xfhwDZDyXGrNcIthlh1QQ==,06/10/13,
hx9who3HFgqOHy1eB2/hRA==,07/10/13,
VOzCjpUI/PKDYwFLDRtOuA==,07/10/13,
Ngv76fsv4/MF23tv4fikrQ==,07/10/13,
Gquz+hKAFEv5Rto30AwF8Q==,07/10/13,
JiZmmoFnzkG7g7a4ShtbBQ==,07/10/13,
13MUtcI8CH2bXtWH6IgA0g==,09/10/13,
BlmC6JT83iEVNFSy6ksqig==,09/10/13,
Uf8hCm78ZBpKVyLHsxHerA==,09/10/13,
x4dtaw+dVGH9PofA0eUeEg==,09/10/13,
5ui741G/GfljggqWVD8l2w==,09/10/13,09/11/2013
q3wtbxQ7QvrzYMa1L8wvBQ==,09/10/13,
9ZHtSwlJKTPC3nfHjJ2aZg==,09/10/13,
s3JCkl/+DaQA2bmMJUufzQ==,09/10/13,
O1Fm7xR7FD/t0EscSmSQCw==,10/10/13,
hCdG3I2YNSyMB7Bm1FVOfw==,10/10/13,
1gVd5o2tWiGjPWQBGBmMmA==,11/10/13,
TnnpbrtWcb21ARHxjyYwAw==,11/10/13,13/11/2013
FsqglkfTbQzvj8MbE0OwQw==,12/10/13,
meyLYmpHEyxSlp3Qgc3YCA==,13/10/13,
y98LDXDsAP89ngK8YowBpA==,14/10/13,
4+3KD25ov7duryao623ZSw==,14/10/13,
DPngXhRFmeNCVBRiqDP1NQ==,15/10/13,
1jYYUWmRhYjCCqNYOwz0MA==,15/10/13,
d9ovB+1slK+ie18RO+p+vg==,15/10/13,
ELK4aY6gOFZSJIsKk7hqVw==,15/10/13,
FLCUrvXS30f6ndAJstbssQ==,15/10/13,
CuEtw2drwJo1/m7ZaSamtQ==,15/10/13,
2l2nn8gUT3nKkHoEBm7c0g==,15/10/13,
Qdo0+k5FXE8+xz9gZl8XOA==,15/10/13,
ooPC+mgtcKrmko/9c8EzYw==,16/10/13,
dfAjsBWEx/N4g/QcKiuRyg==,16/10/13,
mq2TMo7QIRBDhWaxFi9IuA==,16/10/13,
wui3Te+wc82M9OlCE26hZA==,16/10/13,
J9z6bJ+wTfoos+OFaY4+XA==,16/10/13,
C76vAkIYDIq/+yuNraWp5A==,16/10/13,
ZaV52hH6cSFJvKNH7PyyCA==,17/10/13,
K47Rf754WMZB1VygPris4w==,17/10/13,
JLfgVgFsr53SlmR78NWZBQ==,17/10/13,
jU5+q5lpfXD0alVuyfj5Zg==,17/10/13,
75Wvr95xISC7cI0StiF6mg==,18/10/13,
YbXGiYf5cTdW/N30B2GOUg==,18/10/13,
Dr/7c+JX0RkIU7QWA4ttLA==,18/10/13,
v/pn4zhcuVwr2MCnbYLBUA==,18/10/13,
ZcFwD94+mpTMBgp+N3cofA==,19/10/13,
2GooOu3QHVxyYLvNseDlUw==,19/10/13,
IiXGmaNq+yU6aQdMrYULAA==,19/10/13,
+/dt/AAKZ8q33JW4jzdHWw==,19/10/13,
IhyBn6vkqApi58+3fXOiww==,19/10/13,
28UImM9YLf69bXrfTq+etg==,19/10/13,
kMz/EBhovGZkILWgJpRdOg==,19/10/13,
8K3ne0OSOzgjfbVpsBa6JQ==,19/10/13,
FRNPq84a9I9QvEcN36zfVg==,19/10/13,
